Source,Dest.,Weight
0,31,0.8693456151710754
31,19,1.4931599171379908
0,41,1.6110691528107959
41,46,0.8282936382149565
46,29,1.9176800946354415
29,33,1.17131262586463
33,118,1.5529379627386906
46,134,1.958150942358824
134,62,0.585468572209674
134,30,2.04459527300275
30,99,0.5637416889782483
99,147,1.181286830229823
147,104,1.2829180289413684
104,82,1.4360652863637233
82,27,1.1928521557106104
27,17,1.7674423365824994
147,5,1.7995732695291928
5,59,0.7387605421575855
59,76,0.18518638442817978
76,117,0.0
76,45,0.12995861217199878
76,14,0.26181500060185214
59,89,0.34868478569711786
89,108,0.424813808438894
108,137,0.24046137070791335
137,133,0.2119150512590652
133,10,0.2519152345595207
133,70,0.8241295653656365
70,107,0.714907883458463
107,6,0.7067140927698112
107,23,1.1323519363146952
23,98,0.7214435347717041
45,148,1.3001343324581818
148,20,1.4235485851145584
20,90,1.094437061382993
90,112,1.4656580690594807
112,101,1.6174320469523116
90,100,1.6872123831381327
17,55,1.8198313414301648
55,51,1.0824592122841847
14,141,1.8342079174949257
141,114,1.04332193076893
141,86,1.3932079486184745
86,113,1.5025907958198768
113,2,0.8218471100260186
113,50,1.2537974928841622
2,60,1.5749328565398881
50,125,1.8960170359910848
125,67,1.313396829613414
67,43,1.7928922053680822
43,54,1.6838906465754508
60,84,1.9239649142465691
84,97,1.5393279498783778
97,88,1.7851278849401135
88,94,1.751599975004715
94,127,1.2198421716467918
127,96,0.4446203219676464
88,91,1.825499894746324
91,115,1.1247084277681596
94,75,1.8822224192708263
75,130,1.8108635994633193
101,124,1.9746550306515533
19,47,2.2259752303561773
51,28,2.264630157616552
28,105,1.757184983092078
105,132,1.2435352431922673
118,66,2.309309851764942
66,120,2.363765667474246
120,95,0.6235519128289447
120,154,1.282196781312562
154,87,2.048374672164577
87,139,1.7675872204337633
139,143,1.0490852824575922
62,72,2.4061485672398133
72,39,0.590869718458233
39,15,2.2431077261127452
15,18,1.0226884119692539
18,83,1.983474460919193
83,35,2.0828990368331173
83,13,2.2267733602789868
124,93,2.5064904644230976
114,56,2.525727915453738
56,7,0.7206953052620975
7,16,1.5569821364524679
16,116,1.6102155378463465
116,4,2.2750262103032517
4,77,1.8683990489254247
18,12,2.5573754933269996
12,81,2.481111613098846
81,71,1.7966798918454885
100,149,2.5644428686795027
149,119,1.2094808154056456
47,79,2.6654414132925988
79,8,1.5342425627022085
77,42,2.6941148804962385
42,145,0.37241773329241823
8,131,2.7192172574799502
131,21,1.1774212432561324
131,36,2.07039328263885
36,49,1.985687132007972
115,40,2.850363061723702
40,37,1.7716550197507892
37,121,0.6664204612094269
121,109,0.8932870874905818
40,65,2.113092305879746
109,73,2.676692974311095
143,64,3.2448912755894495
16,150,3.2947175458490605
150,80,0.972288329004318
64,24,3.3608906342987512
24,140,3.142736809894704
24,152,3.346702483559802
65,155,3.5961972945332064
155,38,1.4439335117427434
38,146,1.5688152634730466
155,44,3.044508702448202
44,48,3.0813677112646585
48,144,1.8975838189986596
146,136,3.1086503718498464
136,3,2.921605292379302
144,11,3.473828825620591
11,92,1.585156984017025
11,57,1.779005000467541
24,126,3.780873706186503
126,34,1.8125958263740132
42,53,3.8111911429323166
53,153,1.4028078558848474
153,135,3.081502893873625
135,32,0.534760436354111
32,138,1.8574320938115987
138,123,1.0154921699951909
123,25,0.45544327206226703
123,22,2.4806832813676367
48,142,3.8819970288882586
145,111,3.9435871950399424
81,52,4.133191800025956
52,129,1.895045989880733
129,78,0.9198973507621104
105,26,4.163558378104226
146,58,4.189045754110423
58,102,1.846392228799312
102,9,2.701891396779478
9,103,3.035917307545824
145,61,4.2248626102265785
61,69,2.4132713734166167
69,63,0.9126641888724452
54,1,4.254313239377406
1,122,1.8182820940516866
122,74,2.886610961427905
13,68,4.2642663412262864
103,85,4.592905087596084
49,128,4.993134352497973
128,106,2.1677753810264107
92,110,5.374118260684175
144,151,5.605696173834996
